sp	activity	reference
Ferula assa-foetida L.	Alexeteric(解毒作用);Allergenic(アレルギー生成);Amenorrhea(無月経);Analgesic(鎮痛剤);Anatiseptic(防腐剤);Angina(扁桃炎);Antiaggregant(抗血小板剤);Antispasmodic(鎮痙薬);Antitumor(抗腫瘍);Aperient(緩下剤);Aphrodisiac(媚薬);Arthorosis(関節症);Ascites(腹水症);Asthma(喘息);Bite;Bronchosis(気管支炎);Callus(皮膚硬結、たこ);Cancer(ガン);Cancer, abdomen(ガン、腹部);Cancer, colon(ガン、結腸);Cancer, gum(ガン、歯肉);Cancer, liver(ガン、肝臓);Cardiopathy(心疾患);Caries(カリエス、骨瘍剤);Carminative(駆風薬);Cholera(コレラ);CNS-stimulant(中枢神経系刺激剤);Cold(感冒);Colic(疝痛);Colitis(大腸炎);Conjunctivosis;Constipation(便秘);Convulsant(けいれんを起こす);Cough(咳);Cramp(けいれん、ひきつり);Croup(偽膜性喉頭炎);Deafness(難聴疾患);Deobstruent(閉塞物の排除);Deodorant(消臭);Dermatosis(皮膚病);Diarrhea(下痢);Digestive(消化器);Diuretic(利尿薬);Dysentery(赤痢);Dyspepsia(消化不良、胃弱);Dyspnea(呼吸困難);Emmenagogue(通経薬);Enterosis;Enterostimulant(腸刺激薬);Epilepsy(癲癇);Expectorant(去痰薬);Felon(ひょう疽);Fracture(骨折);Frigidity(冷感症、不感症);Fungicide(殺菌剤、防カビ剤);Gastrosis(胃障害);Gingivosis(歯肉症);Hemiplegia(半身不随);Hepatosis(肝機能不全);High blood pressure(高血圧);Hyperlipidemia(脂肪過剰血症);Hypoacidity(胃酸減少);Hypoglycemia(低血糖症);Hypotensive(低血圧);Hysteria(ヒステリー);Impotence(インポテンツ);Indigestion(消化不良);Induration(硬化性);Infection(感染);Inflammation(炎症);Insanity(精神障害);Insomnia(不眠症);Irritable Bowel Syndrome(過敏性腸症候群);Jaundice(黄疸);Laryngismus(喉頭痙攣);Laxative(下剤);Mucososis;Mutagenic(変異原性);Mycosis(真菌症);Nervine(神経鎮静薬);Nervousness(神経過敏);Neurasthenia(神経衰弱症);Neurosis(神経症);Obesity(肥満);Ophthalmia(眼結膜炎、眼炎);Osteosis(骨組織形成);Pain(痛み);Paralysis(中風);Pertussis(百日咳);Pneumonia(肺炎);Polyp(ポリプ、隆起性病変);Respirastimulant(呼吸刺激剤);Rheumatism(リウマチ);Rinderpest(牛疫);Ringworm(白癬);Sarcoma(肉腫);Sedative(鎮静剤);Snakebite(ヘビ傷);Sore Throat(咽喉炎);Spasm(痙攣);Splenosis(脾症);Stimulant(興奮薬);Stomachache(胃痛、腹痛);Stomachic(健胃薬);Thrombosis(血栓症);Tumor(腫瘍);Uterotonic(子宮収縮薬);Vermicide(駆虫剤);Wart(疣贅);Whitlow(ひょう疽)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002);James A Duke with Mary Jo Bogenschutz-Godwin,Judi duCellier,Peggy-Ann K.Duke(Illustrator),CRC HANDBOOK OF Medicinal Spices,CRC PRESS(2002)
Ferula gummosa Boiss.	Antibacterial(抗菌);Antiedemic(抗浮腫性);Antiseptic(防腐剤);Emmenagogue(通経薬);Emollient(緩和剤);Expectorant(去痰薬);Stimulant(興奮薬);Stomachic(健胃薬);Uterotonic(子宮収縮薬);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Chrysophyllum cainito L.	Analgesic(鎮痛剤);Antiinflammatory(抗炎症);Antioxidant(酸化防止剤);Astringent(収斂性);Emollient(緩和剤);Hypoglycemic(低血糖);Laxative(下剤);Pectoral(胸筋);Refrigerant(解熱剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Erythroxylum coca Lam.	Analgesic(鎮痛剤);Anesthetic(麻酔薬);Anorectic(食思減退薬、食欲抑制薬);Antibacterial(抗菌);Antifeedant(摂食阻害剤);Aperient(緩下剤);Aphrodisiac(媚薬);Astringent(収斂性);Bactericide(殺菌剤);Carcinogenic(発ガン性);Carminative(駆風薬);CNS-stimulant(中枢神経系刺激剤);Deobstruent(閉塞物の排除);Depurative(浄化作用);Diaphoretic(発汗剤);Digestive(消化器);Diuretic(利尿薬);Embryotoxic(胎児毒性);Euphoriant(陶酔薬);Hallucinogen(幻覚剤);Immunosuppressant(免疫抑制剤);Insecticide(殺虫剤);Mydriatic(散瞳薬);Narcotic(麻薬);Nervine(神経鎮静薬);Paralytic(麻痺);Psychedelic(サイケデリック薬剤);Stimulant(興奮薬);Stomachic(健胃薬);Tonic(強壮剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008);James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Erythroxylum verna Vell.	Analgesic(鎮痛剤);Antiarrhythmic(不整脈治療剤);Antidepressant(抗鬱剤);Antiedemic(抗浮腫性);Antiinflammatory(抗炎症);Antinicotinic(抗ニコチン);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antitussive(鎮咳薬);Bactericide(殺菌剤);Carminative(駆風薬);CNS-depressant(中枢神経系抑制剤);Curare(クラーレ);Diuretic(利尿薬);Hepatoprotective(肝保護);Hypotensive(低血圧);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Narcotic(麻薬);Nervine(神経鎮静薬);Sedative(鎮静剤);Tranquilizer(精神安定剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Eschscholzia californica Cham.	Analgesic(鎮痛剤);Antispasmodic(鎮痙薬);Anxiolytic(抗不安薬);Calmative(鎮静効果のある);Diaphoretic(発汗剤);Diuretic(利尿薬);Emetic(催吐薬);Lactifuge(乳汁分泌抑制薬、制乳薬);Narcotic(麻薬);Piscicide(殺魚剤);Poison(毒);Sedative(鎮静剤);Soporific(催眠剤);Uterotonic(子宮収縮薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Espeletia schultzii Wedd.	Analgesic(鎮痛剤);Antiacetylcholinesterase(抗アセチルコリンエステラーゼ);Anticholinesterase(抗コリンエステラーゼ);Antifeedant(摂食阻害剤);Antihepatomic;Antiherpetic(抗ヘルペス);Antileukemic(抗白血病);Antilymphocytic(抗リンパ球);Antimitotic(抗有糸分裂);Antiplasmodial(抗変形菌);Antipolio(抗ポリオ);Antitumor(抗腫瘍);Antiviral(抗ウイルス薬);Cardiodepressant(心抑制);Cardiotonic(強心剤);CNS-depressant(中枢神経系抑制剤);Cytotoxic(細胞毒性);Emetic(催吐薬);Expectorant(去痰薬);Febrifuge(解熱剤);Hypertensive(高血圧);Hypnotic(睡眠薬);Hypotensive(低血圧);Myocontractant(筋肉コントラクタン);Paralytic(麻痺);Plasmodicide(抗マラリア薬);Purgative(下剤);Respirastimulant(呼吸刺激剤);Reverse Transcriptase Inhibitor(逆転写酵素阻害);Sedative(鎮静剤);Sialagogue(唾液分泌促進薬);Tachycardic(頻脈);Vasodilator(血管拡張神経、血管拡張薬)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Eucalyptus globulus Labill.	Analgesic(鎮痛剤);Anesthetic(麻酔薬);Anthelminthic(駆虫薬、虫下し);Antibacterial(抗菌);Antidiabetic(抗糖尿病薬);Antiinflammatory(抗炎症);Antiproliferative(抗増殖性);Antipyretic(解熱薬);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antitumor(抗腫瘍);Antitussive(鎮咳薬);Antiviral(抗ウイルス薬);Astringent(収斂性);Bronchodilator(気管支拡張剤);Carminative(駆風薬);Decongestant(充血除去剤);Deodorant(消臭);Diuretic(利尿薬);Expectorant(去痰薬);Fungicide(殺菌剤、防カビ剤);Hyperemic(充血);Hypoglycemic(低血糖);Insecticide(殺虫剤);Memorigenic;Rubefacient(発赤剤);Secretolytic;Secretomotor(分泌促進);Sedative(鎮静剤);Sialagogue(唾液分泌促進薬);Stimulant(興奮薬);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Erysimum cheiri (L.) Crantz	Analgesic(鎮痛剤);Antibacterial(抗菌);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antitumor(抗腫瘍);Cardiotonic(強心剤);Cardiotoxic(心臓毒性);Deobstruent(閉塞物の排除);Depurative(浄化作用);Emmenagogue(通経薬);Expectorant(去痰薬);Laxative(下剤);Myotonic(筋緊張症);Peristaltic(蠕動性);Stimulant(興奮薬);Stomachic(健胃薬);Tonic(強壮剤);Toxic(毒性)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Erysimum diffusum Ehrh.	Negative chronotropic(陰性変時);Positive Inotropic(陽性変力作用)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Eucommia ulmodes Oliv.	Alpha-glucosidase inhibitor(Alphaグルコシダーゼ阻害剤);Analgesic(鎮痛剤);Anti-HIV(抗HIV);Antiabortifacient(抗流産薬);Antiaging(アンチエイジング);Antibacterial(抗菌);Anticlastogenic(抗染色体異常誘発);Anticomplement(抗補体);Antiherpetic(抗ヘルペス);Antiinflammatory(抗炎症);Antimutagenic(抗突然変異性);Antioxidant(酸化防止剤);Antiperoxidant(抗過酸化物質);Antiperspirant(制汗剤);Antiradicular(抗神経根);Antitumor(抗腫瘍);Antiviral(抗ウイルス薬);Aphrodisiac(媚薬);Astringent(収斂性);Candidicide;Collagenic;Cytotoxic(細胞毒性);Depurative(浄化作用);Diuretic(利尿薬);Fungicide(殺菌剤、防カビ剤);Granulomagenic(肉芽腫生成);Hepatoprotective(肝保護);Hypotensive(低血圧);Respirastimulant(呼吸刺激剤);Roborant(強壮剤);Sedative(鎮静剤);Tonic(強壮剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Eugenia uniflora L.	Antidiarrheal(止瀉薬);Antihyperlipidemic(抗脂質異常症);Antiinflammatory(抗炎症);Antimycotic(抗真菌薬);Antioxidant(酸化防止剤);Antirheumatic(抗リウマチ剤);Antiseptic(防腐剤);Astringent(収斂性);Bactericide(殺菌剤);Candidicide;Cardioprotective(心臓保護);Digestive(消化器);Diuretic(利尿薬);Febrifuge(解熱剤);Fungicide(殺菌剤、防カビ剤);Hyperlipidemic(脂肪過剰血性);Hypolipidemic(低リポタンパク血、抗高脂血症薬、脂質低下薬);Hypotensive(低血圧);Insecticide(殺虫剤);Tonic(強壮剤);Trypanosomicide(抗トリパノソーマ薬);Vasodilator(血管拡張神経、血管拡張薬);Vasorelaxant(血管平滑筋弛緩);Xanthine oxidase inhibitor(キサンチン酸化酵素阻害剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008);James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Euonymus atropurpureus Jacq.	Alterative(体質改善剤);Analgesic(鎮痛剤);Antiperiodic(周期病薬);Cardioactive(心臓に影響を与える);Cholagogue(胆汁分泌促進薬);Circulostimulant;Collyrium(洗眼液);Diuretic(利尿薬);Emetic(催吐薬);Expectorant(去痰薬);Gastrogogue;Hemostat(止血剤);Hepatotonic;Laxative(下剤);Parasiticide(虫下し、駆虫薬);Pediculicide(シラミ駆除剤);Poison(毒);Scabicide(殺疥癬虫剤);Sialagogue(唾液分泌促進薬);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Eupatorium cannabinum L.	Alterative(体質改善剤);Analgesic(鎮痛剤);Antipyretic(解熱薬);Aperitif(食前酒);Bitter(苦味);Cholagogue(胆汁分泌促進薬);Cytotoxic(細胞毒性);Depurative(浄化作用);Diaphoretic(発汗剤);Diuretic(利尿薬);Emetic(催吐薬);Hemostat(止血剤);Immunostimulant(免疫賦活剤);Laxative(下剤);Nervine(神経鎮静薬);Tonic(強壮剤);Vermicide(駆虫剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Epilobium angustifolium L.	Alpha-reductase inhibitor(Alpha還元酵素阻害剤);Anti-benign prostatic hyperplasia (良性前立腺肥大抑制);Antibacterial(抗菌);Antiedemic(抗浮腫性);Antiexudative(抗浸潤性);Antiinflammatory(抗炎症);Antiprostaglandin(抗プロスタグランジン);Antiprostatic(抗前立腺);Antiseptic(防腐剤);Antitumor(抗腫瘍);Aromatase inhibitor(アロマターゼ阻害剤);Astringent(収斂性);Candidicide;Laxative(下剤);Panacea(万能薬);Toxic(毒性)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Epimedium spp.	Antiaggregant(抗血小板剤);Antiarthritic(抗関節炎薬);Antibacterial(抗菌);Anticancer(抗ガン);Antiglucocorticoid(抗糖質コルチコイド);Antiinflammatory(抗炎症);Antiosteoporotic(骨粗鬆症治療);Antirheumatic(抗リウマチ剤);Antiseptic(防腐剤);Antitussive(鎮咳薬);Antiviral(抗ウイルス薬);Aphrodisiac(媚薬);Cardioprotective(心臓保護);Catacholamine inhibitor(カテコールアミン阻害剤);Expectorant(去痰薬);Fibrinolytic(線維素溶解性);Hepatoprotective(肝保護);Hypotensive(低血圧);Immunomodulator(免疫修飾因子);Immunostimulant(免疫賦活剤);Leukocytogenic;Memorigenic;Osteogenic(骨原性);Phagocytotic(食作用);Proaggregant;Spermatogenic(精子形成);Tonic(強壮剤);Vasodilator(血管拡張神経、血管拡張薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Equisetum arvense L.	Antibacterial(抗菌);Antiedemic(抗浮腫性);Antiinflammatory(抗炎症);Antispasmodic(鎮痙薬);Aquaretic(水利尿);Astringent(収斂性);Carminative(駆風薬);Cooling(冷却);Diaphoretic(発汗剤);Diuretic(利尿薬);Emmenagogue(通経薬);Hemolytic(溶血性);Hemostat(止血剤);Immunostimulant(免疫賦活剤);Leukocytogenic;Nephrotonic(腎強壮性);Tonic(強壮剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Equisetum bogotense Kunth.	Analgesic(鎮痛剤);Antiinflammatory(抗炎症);Antiseptic(防腐剤);Astringent(収斂性);Cicatrizant(瘢痕形成薬);Depurative(浄化作用);Diuretic(利尿薬);Emmenagogue(通経薬);Expectorant(去痰薬);Hemostat(止血剤);Hypertensive(高血圧);Stimulant(興奮薬);Vasoconstrictor(血管収縮薬);Vulnerary(傷薬、外傷にきく)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Equisetum giganteum L.	Abortifacient(堕胎薬);Analgesic(鎮痛剤);Antiinflammatory(抗炎症);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antitumor(抗腫瘍);Astringent(収斂性);Cicatrizant(瘢痕形成薬);Depurative(浄化作用);Diuretic(利尿薬);Emmenagogue(通経薬);Eupeptic(消化補助);Hemostat(止血剤);Hepatotonic;Hypotensive(低血圧);Litholytic(結石溶解);Neuritogenic(神経突起生成);Vasoconstrictor(血管収縮薬);Vulnerary(傷薬、外傷にきく)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Equisetum hyemale L.	Abortifacient(堕胎薬);Astringent(収斂性);Depurative(浄化作用);Diaphoretic(発汗剤);Diuretic(利尿薬);Hemostat(止血剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Erechtites hieraciifolius (L.) Raf. Ex DC.	Alterative(体質改善剤);Astringent(収斂性);Cathartic(下剤);Emetic(催吐薬);Febrifuge(解熱剤);Tonic(強壮剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Eriodictyon californicum (Hook. & Arn.) Torr.	Antiasthmatic(抗ぜんそく);Anticancer(抗ガン);Antiinflammatory(抗炎症);Antirheumatic(抗リウマチ剤);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Astringent(収斂性);Bitter(苦味);Chemopreventive(化学防御);Collyrium(洗眼液);Decongestant(充血除去剤);Depurative(浄化作用);Diuretic(利尿薬);Expectorant(去痰薬);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Erithalis fruticosa L.	Astringent(収斂性);Diuretic(利尿薬);Hemostat(止血剤);Purgative(下剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Eryngium campestre L.	Antispasmodic(鎮痙薬);Aphrodisiac(媚薬);Diuretic(利尿薬);Expectorant(去痰薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Erythrina fusca Lour.	Analgesic(鎮痛剤);Antipyretic(解熱薬);Antiseptic(防腐剤);Antitussive(鎮咳薬);Diaphoretic(発汗剤);Febrifuge(解熱剤);Hallucinogen(幻覚剤);Hallucinogenic(幻覚生成);Narcotic(麻薬);Purgative(下剤);Sudorific(発汗促進);Vermicide(駆虫剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008);James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Erythrina ulei Harms	Anti-methicillin-resistant Staphylococcus aureus(抗メチシリン耐性黄色ブドウ球菌);Antibacterial(抗菌);Antiseptic(防腐剤);Antitussive(鎮咳薬);Candidicide;Fungicide(殺菌剤、防カビ剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Erythronium americanum Ker Gawl	Bacteristat(静菌剤);Contraceptive(避妊薬);Emetic(催吐薬);Emollient(緩和剤);Expectorant(去痰薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Erythrophleum suaveolens (Guill. & Perr.) Brenan	Allergenic(アレルギー生成);Analgesic(鎮痛剤);Anesthetic(麻酔薬);Antidote(解毒剤);Antipyretic(解熱薬);Antiseptic(防腐剤);Astringent(収斂性);Cardiotonic(強心剤);Chronotropic(周期変動);Convulsant(けいれんを起こす);Diuretic(利尿薬);Emetic(催吐薬);Hemolytic(溶血性);Hydragogue(駆水薬);Hypotensive(低血圧);Inotropic(変力性);Laxative(下剤);Molluscicide(軟体動物駆除剤);Narcotic(麻薬);Piscicide(殺魚剤);Poison(毒);Rodenticide(殺鼠剤);Sedative(鎮静剤);Sialagogue(唾液分泌促進薬);Spasmogenic(収縮刺激性);Sternutator(くしゃみ誘発剤);Stimulant(興奮薬);Uterotonic(子宮収縮薬);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Erythroxylum catuaba A. J. Silva ex Raym.-Hamet	Analgesic(鎮痛剤);Anti-HIV(抗HIV);Antiviral(抗ウイルス薬);Aphrodisiac(媚薬);Bactericide(殺菌剤);Cerebrotonic(頭脳型);CNS-stimulant(中枢神経系刺激剤);Neurotonic(神経賦活性);Orexigenic(食欲刺激[促進]物質);Tonic(強壮剤);Vasodilator(血管拡張神経、血管拡張薬)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Drimys winteri J.R. & G. Forst.	Analgesic(鎮痛剤);Antibacterial(抗菌);Antiinflammatory(抗炎症);Antileukemic(抗白血病);Antiscorbutic(抗壊血病);Antiseptic(防腐剤);Astringent(収斂性);Bitter(苦味);Carminative(駆風薬);Diaphoretic(発汗剤);Stimulant(興奮薬);Stomachic(健胃薬);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Dianthus chinensis L.	Abortifacient(堕胎薬);Analgesic(鎮痛剤);Anthelminthic(駆虫薬、虫下し);Antifertility(避妊);Antimutagenic(抗突然変異性);Antipyretic(解熱薬);Antiribosomal(抗リボソーム);Antiviral(抗ウイルス薬);Astringent(収斂性);Circulotonic;Diaphoretic(発汗剤);Diuretic(利尿薬);Ecbolic(陣痛促進薬);Emmenagogue(通経薬);Hemostat(止血剤);Hepatoprotective(肝保護);Propecic;Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Eclipta prostrata (L.) L.	Alexeteric(解毒作用);Alterative(体質改善剤);Analgesic(鎮痛剤);Anthelminthic(駆虫薬、虫下し);Anti-idiopathic Thrombocytopenic Purpura(抗特発性血小板減少性紫斑病);Antiaging(アンチエイジング);Antibacterial(抗菌);Anticonvulsant(抗けいれん薬、抗痙攣薬);Antiedemic(抗浮腫性);Antigiardial(抗ランブル鞭毛虫);Antihemorrhagic(抗出血性);Antihepatotoxic(抗肝毒性);Antihyperglycemic(血糖降下);Antihyperlipidemic(抗脂質異常症);Antiinflammatory(抗炎症);Antimyotoxic(抗ミオトキシン（ヘビ毒）);Antipyretic(解熱薬);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antistress(抗ストレス);Antiulcerogenic(抗潰瘍);Antivenom(抗毒素);Antiviral(抗ウイルス薬);Astringent(収斂性);Bactericide(殺菌剤);Bitter(苦味);Bronchodilator(気管支拡張剤);Candidicide;Cardiotonic(強心剤);Cholagogue(胆汁分泌促進薬);Deobstruent(閉塞物の排除);Depurative(浄化作用);Diuretic(利尿薬);Emetic(催吐薬);Energizer(抗鬱薬);Estrogenic(エストロゲン);Expectorant(去痰薬);Febrifuge(解熱剤);Fungicide(殺菌剤、防カビ剤);Gastroprotective(胃保護剤);Hemostat(止血剤);Hepatoprotective(肝保護);Hepatotonic;HIV-1 integrase inhibitor(HIV-1インテグラーゼ阻害剤);HIV-1 protease inhibitor(HIV-1プロテアーゼ阻害剤);Hypocholesterolemic(低コレステロール血);Hypoglycemic(低血糖);Hypotensive(低血圧);Immunostimulant(免疫賦活剤);Larvicide(幼虫駆除剤);Laxative(下剤);Lipogenic(脂質生成);Lipoxygenase inhibitor(リポキシゲナーゼ阻害剤);Myocardiodepressant(心筋抑制薬);Myorelaxant(筋肉弛緩薬);Nematocide(抗線虫剤);Nootropic(向知性);Phagocytotic(食作用);Philtre(媚薬);Phototoxic(光毒性);Propecic;Purgative(下剤);Refrigerant(解熱剤);Stomachic(健胃薬);Tonic(強壮剤);Trypsin inhibitor(トリプシン阻害剤);Vermicide(駆虫剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008);James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Elaeis guineensis Jacq.	Analgesic(鎮痛剤);Antemetic(悪心[嘔吐]抑止の);Antiabortifacient(抗流産薬);Antiaggregant(抗血小板剤);Antiatherosclerotic(抗アテローム硬化性);Anticarcinogenic(抗発ガン性);Antidote(解毒剤);Antioxidant(酸化防止剤);Antiradicular(抗神経根);Antithrombic(抗血栓症);Antitumor(抗腫瘍);Aphrodisiac(媚薬);Astringent(収斂性);Cardioprotective(心臓保護);Chemopreventive(化学防御);Cicatrizant(瘢痕形成薬);Diuretic(利尿薬);Ecbolic(陣痛促進薬);Hypocholesterolemic(低コレステロール血);Immunostimulant(免疫賦活剤);Laxative(下剤);Radioprotective(放射線防護);Repellent(忌避剤);Sunscreen(日焼け止め);Tonic(強壮剤);Toxic(毒性);Vasorelaxant(血管平滑筋弛緩);Vasotonic(血管緊張性);Vulnerary(傷薬、外傷にきく)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
