cid	metabolite	category	function	targetsp	reference
C00002956	Isoathyriol	Antigout	inhibitory activity on the enzyme xanthine oxidase		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002957	Isogentisin	Antiparkinson	inhibit monoamine oxidase in vitro		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002957	Isogentisin	Mutagenic	mutagen	Salmonella typhimurium	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002915	Corilagin	Antibacterial	Antibacterial	Staphylococcus aureus	Shen, et al., Planta Med, 69, (2003), 1109.;Fogliani, et al., Phytochemistry, 66, (2005), 241.;Calixto, et al., Planta Med, 70, (2004), 93.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Edited by Jiangsu New Medicinal College, Chinese Medicine Dictionary, Shanghai Science and technology Press, Shanghai, (1979).
C00002915	Corilagin	Antifungal	Antifungal	Candida albicans	Shen, et al., Planta Med, 69, (2003), 1109.;Fogliani, et al., Phytochemistry, 66, (2005), 241.;Calixto, et al., Planta Med, 70, (2004), 93.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Edited by Jiangsu New Medicinal College, Chinese Medicine Dictionary, Shanghai Science and technology Press, Shanghai, (1979).
C00002915	Corilagin	Antihepatotoxic	Antihepatotoxin		Shen, et al., Planta Med, 69, (2003), 1109.;Fogliani, et al., Phytochemistry, 66, (2005), 241.;Calixto, et al., Planta Med, 70, (2004), 93.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Edited by Jiangsu New Medicinal College, Chinese Medicine Dictionary, Shanghai Science and technology Press, Shanghai, (1979).
C00002915	Corilagin	Antihepatotoxic	in vitro antihepatotoxic activity, due to enzyme inhibitory action on glutamine-pyruvic transaminase		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002915	Corilagin	Other health agent	inhibit adrenaline-induced lipolysis in fat cells	Rattus norvegicus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002915	Corilagin	Other health agent	inhibitory action on induced lipolysis in liver microsomes	Rattus norvegicus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002916	3,5-Di-galloyl-4-O-digalloylquinic acid	Anti-HIV	inhibit human immunodeficiency virus reverse transcriptase, thus showing anti-AIDS activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002917	Epicatechin-(4beta->8)-ent-epicatechin		tans proteins		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002918	Epicatechin-(4beta->8)5-epicatechin		tans proteins		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002919	Epigallocatechin-(4beta->8)-epicatechin-3-O-gallate		tans proteins		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002920	Eugeniin	Anti-HSV	antiviral activity	herpes simplex	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002920	Eugeniin	Other health agent	inhibit adrenaline-induced lipolysis in fat cells	Rattus norvegicus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002921	ent-Fisetinidol-(4beta->8)-catechin-(6->4beta)-ent-fisetinidol		tans proteins		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002923	Prodelphinidin B4;Gallocatechin-(4alpha->8)-epigallocatechin		tans proteins		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002924	Gambiriin C		tans proteins		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002925	Gemin A	Antitumor	antitumour activity against Sarcoma 180	Mus musculus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002925	Gemin A	Other health agent	inhibit adrenaline-induced lipolysis in fat cells	Rattus norvegicus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002925	Gemin A	Other health agent	inhibit induced lipolysis in liver mitochondria	Rattus norvegicus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002926	Geraniin	Antihypertensive	enhance adrenocorticotrophic hormone-induced lipolysis in fat cells		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002926	Geraniin	Antioxidant	inhibit induced lipid peroxidation in liver microsomes	Rattus norvegicus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002926	Geraniin	Other health agent	inhibit adrenaline-induced lipolysis of fat cells	Rattus norvegicus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002928	Isoterchebin	Antioxidant	Antioxidant, inhibits lipid peroxidation in cytoblast in liver cells	rat	Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).
C00002928	Isoterchebin	Other health agent	inhibit induced lipolysis in liver mitochondria	Rattus norvegicus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002929	Kandelin A1;Cinchonain-1a-(4beta->8)-catechin		tans proteins		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002930	Mahuannin D		tans proteins		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002931	Mallotusinic acid	Antihypertensive	enhance adrenocorticotrophic hormone-induced lipolysis in fat cells	Rattus norvegicus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002931	Mallotusinic acid	Antioxidant	Antioxidant, inhibits lipid peroxidation in microsome of hepatocyte	rat	Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).
C00002931	Mallotusinic acid	Antioxidant	inhibit induced lipid peroxidation in liver microsomes	Rattus norvegicus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002932	Pedunculagin	Antihepatotoxic	in vitro antihepatotoxic activity due to enzyme inhibitory action on glutamine-pyruvic transaminase		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002932	Pedunculagin	Antioxidant	inhibit induced lipid peroxidation in liver mitochondria	Rattus norvegicus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002932	Pedunculagin	Other health agent	inhibit adrenaline-induced lipolysis in fat cells	Rattus norvegicus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002933	1,2,3,4,6-Penta-O-galloyl-beta-D-glucose;(+)-1,2,3,4,6-Penta-O-galloyl-beta-D-glucose;Pentagalloyl-beta-D-glucose	Anti-HIV	antiviral activity	human immunodeficiency virus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002904	Rhaponticin;Rhaponthin;4'-Methoxy-3,3',5-trihydroxystilbene 3-O-beta-D-glucopyranoside	Antifungal	antifungal activity	Paeolus schoreiuitzii	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44
C00002905	(-)-epsilon-Viniferin;epsilon-Viniferin	Inhibit spore germination	inhibit spore germination	Botrytis cinerea	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44
C00002905	(-)-epsilon-Viniferin;epsilon-Viniferin	Inhibit spore germination	inhibit spore germination	Cladosporium cucumerinum	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44
C00002905	(-)-epsilon-Viniferin;epsilon-Viniferin	Inhibit spore germination	inhibit spore germination	Plasmopara viticola	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44
C00002906	Afzelechin-(4alpha->8)-afzelechin  		tans proteins		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002907	Agrimoniin	Antioxidant	moderate inhibitor of induced lipid peroxidation in liver mitochondria	Rattus norvegicus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002907	Agrimoniin	Antitumor	antitumour activity against Sarcoma 180	Mus musculus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002908	Alnusiin	Antioxidant	inhibit induced lipid peroxidation in microsomes of liver cells	Rattus norvegicus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002908	Alnusiin	Antioxidant	inhibit induced lipid peroxidation in mitochondria in fat cells	Rattus norvegicus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002908	Alnusiin	Antitumor	antitumour activity against Sarcoma 180	Mus musculus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002909	Casuarictin	Antihepatotoxic	in vitro antihepatotoxic activity, due to enzyme inhibitory action on glutamine-pyruvic transaminase		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002910	Casuarinin	Antioxidant	antioxidant efficiency in the erythrocyte membrane ghost system	Oryctolagus cuniculus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002910	Casuarinin	Antioxidant	inhibit induced lipid peroxidation of liver microsomes	Rattus norvegicus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002911	Chebulagic acid	Antibacterial	Antibacterial	Corynebacterium accolens	Fogliani, et al., Phytochemistry, 66, (2005), 241.;Zhang, et al., Journal of Natural Products, 64, (2001), 1527.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Edited by Jiangsu New Medicinal College, Chinese Medicine Dictionary, Shanghai Science and technology Press, Shanghai, (1979).
C00002911	Chebulagic acid	Antibacterial	Antibacterial	Erwinia carotovora	Fogliani, et al., Phytochemistry, 66, (2005), 241.;Zhang, et al., Journal of Natural Products, 64, (2001), 1527.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Edited by Jiangsu New Medicinal College, Chinese Medicine Dictionary, Shanghai Science and technology Press, Shanghai, (1979).
C00002911	Chebulagic acid	Antibacterial	Antibacterial	Staphylococcus aureus	Fogliani, et al., Phytochemistry, 66, (2005), 241.;Zhang, et al., Journal of Natural Products, 64, (2001), 1527.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Edited by Jiangsu New Medicinal College, Chinese Medicine Dictionary, Shanghai Science and technology Press, Shanghai, (1979).
C00002911	Chebulagic acid	Antifungal	Antifungal	Candida albicans	Fogliani, et al., Phytochemistry, 66, (2005), 241.;Zhang, et al., Journal of Natural Products, 64, (2001), 1527.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Edited by Jiangsu New Medicinal College, Chinese Medicine Dictionary, Shanghai Science and technology Press, Shanghai, (1979).
C00002911	Chebulagic acid	Antihypertensive	enhance adrenocorticotrophic hormone-induced lipolysis in fat cells	Rattus norvegicus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002911	Chebulagic acid	Antioxidant	Antioxidant, inhibits lipid peroxidation in mitochondria of hepatocyte	rat	Fogliani, et al., Phytochemistry, 66, (2005), 241.;Zhang, et al., Journal of Natural Products, 64, (2001), 1527.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Edited by Jiangsu New Medicinal College, Chinese Medicine Dictionary, Shanghai Science and technology Press, Shanghai, (1979).
C00002911	Chebulagic acid	Antioxidant	inhibit lipid peroxidation in mitochondria of liver cells	Rattus norvegicus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002912	Chebulinic acid	Antihypertensive	enhance adrenocorticotrophic hormone-induced lipolysis of liver cells	Rattus norvegicus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002912	Chebulinic acid	Antioxidant	inhibit induced lipid peroxidation in microsomes of liver cells	Rattus norvegicus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002912	Chebulinic acid	Other health agent	inhibit adrenaline-induced lipolysis in fat cells	Rattus norvegicus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002914	Coriariin A	Antitumor	antitumour activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002915	Corilagin	Antibacterial	Antibacterial	Corynebacterium accolens	Shen, et al., Planta Med, 69, (2003), 1109.;Fogliani, et al., Phytochemistry, 66, (2005), 241.;Calixto, et al., Planta Med, 70, (2004), 93.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Edited by Jiangsu New Medicinal College, Chinese Medicine Dictionary, Shanghai Science and technology Press, Shanghai, (1979).
C00002915	Corilagin	Antibacterial	Antibacterial	Erwinia carotovora	Shen, et al., Planta Med, 69, (2003), 1109.;Fogliani, et al., Phytochemistry, 66, (2005), 241.;Calixto, et al., Planta Med, 70, (2004), 93.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Edited by Jiangsu New Medicinal College, Chinese Medicine Dictionary, Shanghai Science and technology Press, Shanghai, (1979).
C00002888	Loroglossol	Inhibit spore germination	inhibit spore germination	Phytophthora infestans	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44
C00002888	Loroglossol	Inhibit spore germination	weakly active against spore germination	Monilinia fructicola	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44
C00002889	Lunularin;3,4'-Dihydroxybibenzyl	Antifungal	Antifungal	Uromyces fabae	Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).
C00002889	Lunularin;3,4'-Dihydroxybibenzyl	Inhibit spore germination	inhibit spore germination	Uromyces fabae	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44
C00002891	3'-O-Methylbatatasin III	Antiallergic	Antiallergic beta-Hexosaminidase inhibitor		Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Matsuda, et al., Planta Med, 70, (2004), 847.
C00002891	3'-O-Methylbatatasin III	Antibacterial	Antibacterial	Streptococcus sp.	Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Matsuda, et al., Planta Med, 70, (2004), 847.
C00002891	3'-O-Methylbatatasin III	Antibacterial	antibacterial activity	Staphylococcus mutans	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44
C00002892	Orchinol;2,4-Dimethoxy-7-hydroxy-9,10-dihydrophenanthrene	Enhance plant growth	inhibit enzymatic IAA degradation in vitro		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44
C00002892	Orchinol;2,4-Dimethoxy-7-hydroxy-9,10-dihydrophenanthrene	Phytoalexin	phytoalexin	Candida lipolytica	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44
C00002892	Orchinol;2,4-Dimethoxy-7-hydroxy-9,10-dihydrophenanthrene	Phytoalexin	phytoalexin	Monilinia fructicola	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44
C00002892	Orchinol;2,4-Dimethoxy-7-hydroxy-9,10-dihydrophenanthrene	Phytoalexin	phytoalexin	Phytophthora infestans	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44
C00002892	Orchinol;2,4-Dimethoxy-7-hydroxy-9,10-dihydrophenanthrene	Phytoalexin	restrict invasion of tubers to a mycorrhizal relationship	Rhizoctonia repens	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44
C00002893	Oxyresveratrol;2,3,4,5'-Tetrahydroxystilbene	Antifungal	against human superficial dermatomycosis		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44
